,0,1,2
513,1985,Compaq Center                    ,houston rockets
514,1986,Compaq Center                    ,houston rockets
515,1987,Compaq Center                    ,houston rockets
516,1988,Compaq Center                    ,houston rockets
517,1989,Compaq Center                    ,houston rockets
518,1990,Compaq Center                    ,houston rockets
519,1991,Compaq Center                    ,houston rockets
520,1992,Compaq Center                    ,houston rockets
521,1993,Compaq Center                    ,houston rockets
522,1994,Compaq Center                    ,houston rockets
523,1995,Compaq Center                    ,houston rockets
524,1996,Compaq Center                    ,houston rockets
525,1997,Compaq Center                    ,houston rockets
526,1998,Compaq Center                    ,houston rockets
527,1999,Compaq Center                    ,houston rockets
528,2000,Compaq Center                    ,houston rockets
529,2001,Compaq Center                    ,houston rockets
530,2002,Compaq Center                    ,houston rockets
531,2003,Toyota Center,houston rockets
532,2004,Toyota Center,houston rockets
533,2005,Toyota Center,houston rockets
534,2006,Toyota Center,houston rockets
535,2007,Toyota Center,houston rockets
536,2008,Toyota Center,houston rockets
537,2009,Toyota Center,houston rockets
538,2010,Toyota Center,houston rockets
539,2011,Toyota Center,houston rockets
540,2012,Toyota Center,houston rockets
541,2013,Toyota Center,houston rockets
542,2014,Toyota Center,houston rockets
543,2015,Toyota Center,houston rockets
544,2016,Toyota Center,houston rockets
545,2017,Toyota Center,houston rockets
546,2018,Toyota Center,houston rockets
547,1967,State Fairgrounds              ,indiana pacers
548,1968,State Fairgrounds              ,indiana pacers
549,1969,State Fairgrounds              ,indiana pacers
550,1970,State Fairgrounds              ,indiana pacers
551,1971,State Fairgrounds              ,indiana pacers
552,1972,State Fairgrounds              ,indiana pacers
553,1973,State Fairgrounds              ,indiana pacers
554,1974,Market Square Arena           ,indiana pacers
555,1975,Market Square Arena           ,indiana pacers
556,1976,Market Square Arena           ,indiana pacers
557,1977,Market Square Arena           ,indiana pacers
558,1978,Market Square Arena           ,indiana pacers
559,1979,Market Square Arena           ,indiana pacers
560,1980,Market Square Arena           ,indiana pacers
561,1981,Market Square Arena           ,indiana pacers
562,1982,Market Square Arena           ,indiana pacers
563,1983,Market Square Arena           ,indiana pacers
564,1984,Market Square Arena           ,indiana pacers
565,1985,Market Square Arena           ,indiana pacers
566,1986,Market Square Arena           ,indiana pacers
567,1987,Market Square Arena           ,indiana pacers
568,1988,Market Square Arena           ,indiana pacers
569,1989,Market Square Arena           ,indiana pacers
570,1990,Market Square Arena           ,indiana pacers
